shipment_id,shipper_id,shipper_name,shipper_address,shipper_city,shipper_state,shipper_zip,shipper_latitude,shipper_longitude,waste_description,waste_epa_codes,weight,manifest_file
1,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE ACETYLENE,D001,54.432,group0/waste-manifests-page1.pdf
2,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE ACETYLENE, DISSOLVED",D001,18.144,group0/waste-manifests-page2.pdf
3,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE ACETYLENE,D001,52.164,group0/waste-manifests-page3.pdf
4,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE CARBON MONOXIDE, COMPRESSED",D001,4.536,group0/waste-manifests-page4.pdf
5,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE HYDROGEN, COMPRESSED",D001,22.68,group0/waste-manifests-page5.pdf
6,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE OXYGEN, COMPRESSED",D001,90.72,group0/waste-manifests-page6.pdf
7,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE OXYGEN, COMPRESSED",D001,57.6072,group0/waste-manifests-page7.pdf
8,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE OXYGEN, COMPRESSED",D001,11.34,group0/waste-manifests-page8.pdf
9,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE COMPRESSED GAS, FLAMMABLE, PROPANE",D001,2.268,group0/waste-manifests-page9.pdf
10,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE COMPRESSED GAS, FLAMMABLE, PETROLEUM GAS",D001,9.072,group0/waste-manifests-page10.pdf
11,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"WASTE COMPRESSED GAS, FLAMMABLE, 1-CHLORO-1-FLUOROETHYLENE",D001,3.1752,group0/waste-manifests-page11.pdf
12,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, FLAMMABLE, METHANE, HYDROGEN SULFIDE",D001,9.072,group0/waste-manifests-page12.pdf
13,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,"COMPRESSED GAS, CHLORODIFLUOROMETHANE AND CHLOROPENTAFLUOROETHANE MIXTURE",D001,2.7216,group0/waste-manifests-page13.pdf
14,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,18.144,group0/waste-manifests-page14.pdf
15,AZD009015389,ROMIC ENVIRONMENTAL TECHNOLOGIES,6760 W. ALLISON ROAD,CHANDLER,AZ,85226,33.288191,-111.957002,WASTE PROPANE,D001,27.216,group0/waste-manifests-page15.pdf
